id,name,image
0,"Mag. AEDO LOPEZ MARCO WILFREDO","../galery/profesores/Aedo.jpeg"
1,"Mag. SHARHORODSKA OLHA","../galery/profesores/OLHA.jpeg"
2,"Mag. ESCOBEDO QUISPE RICHART SMITH","../galery/profesores/ESCOBEDO.jpeg"
3,"Mag. CORRALES DELGADO CARLO JOSE LUIS","../galery/profesores/CORRALES.jpeg"
4,"Mag. NIETO VALENCIA RENE ALONSO","../galery/profesores/NIETO.jpeg"
5,"Mag. QUISPE CRUZ MARCELA","../galery/profesores/QUISPE.jpeg"
6,"Doc. SAIRE PERALTA EDWAR ABRIL","../galery/profesores/SAIRE.jpeg"
7,"Mag. CANO MAMANI EDITH GIOVANNA","../galery/profesores/CANO.jpeg"
8,"Doc. YAÑEZ FERNANDEZ TERESA EDITH","../galery/profesores/YAÑEZ.jpg"
9,"Mag. FUENTES FUENTES JULIO JOSE PERCY","../galery/profesores/FUENTES.jpeg"
10,"Mag. YTO QUISPE AMPARO ELIZABET","../galery/profesores/YTO.jpeg"
11,"Lic. MESTAS VALDIVIA JOSE CARLOS","../galery/profesores/MESTAS.jpeg"
12,"Lic. ARREDONDO GAMIS RAUL DEMETRIO","../galery/profesores/ARREDONDO.png"
13,"Doc. ORDOÑEZ BARRIENTOS JAVIER","../galery/profesores/ORDOÑEZ.jpeg"
14,"Mag. CHAMBI MAMANI JORGE LUIS","../galery/profesores/CHAMBI.png"
15,"Doc. RODRIGUEZ QUIROZ, MARIA VIRGINIA","../galery/profesores/RODRIGUEZ.jpeg"
